Brand Name,Screen Size,Discounted Price,Original Price,Discount Percentage,Rating,Supported Apps,OS,Speaker Output,Resolution,Refresh Rate,Product Name
SAMSUNG,55.0,128999.0,169900.0,24.0,4.6,Netflix|Disney+Hotstar|Youtube,Tizen,40 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,SAMSUNG Q70RAK 138 cm (55 inch) QLED Ultra HD (4K) Smart TV
IFFALCON,65.0,59999.0,109990.0,45.0,4.1,Netflix|Disney+Hotstar|Youtube,Android,16 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL 163.8 cm (65 inch) Ultra HD (4K) LED Smart Android TV
SAMSUNG,43.0,64999.0,94900.0,32.0,4.9,Netflix|Prime Video|Disney+Hotstar|Youtube,Tizen,40 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,SAMSUNG The Serif Series 108 cm (43 inch) QLED Ultra HD (4K) Smart TV
SAMSUNG,49.0,64499.0,99900.0,35.0,4.6,Netflix|Disney+Hotstar|Youtube,Tizen,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,SAMSUNG Series 7 123 cm (49 inch) Ultra HD (4K) LED Smart TV
MICROMAX,55.0,49999.0,69990.0,29.0,4.1,Netflix|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Micromax 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV
SAMSUNG,50.0,79999.0,119900.0,33.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Tizen,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,SAMSUNG The Frame 2021 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart TV
SAMSUNG,65.0,224999.0,279900.0,20.0,5.0,Netflix|Disney+Hotstar|Youtube,Tizen,40 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,SAMSUNG Q70RAK 163 cm (65 inch) QLED Ultra HD (4K) Smart TV
HAIER,50.0,43999.0,54990.0,20.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Haier 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV
SAMSUNG,43.0,57590.0,78900.0,27.0,4.1,Netflix|Disney+Hotstar|Youtube,Tizen,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,SAMSUNG 108 cm (43 inch) QLED Ultra HD (4K) Smart TV
HAIER,43.0,34999.0,43990.0,20.0,4.1,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Haier 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV
